"alg","N","ub","lb","n","d","seed","totaltime","max_particles","tot_particles","scoretype","am","aw","chi","edgepf"
"dnc",300,1,0.25,30,0,27,0.0249999999999986,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,27,0.850934,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,28,0.0239999999999991,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,28,0.491317,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,29,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,29,0.715731,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,30,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,30,0.59578,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,31,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,31,0.703572,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,32,0.0280000000000005,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,32,0.695084,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,33,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,33,0.690589,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,34,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,34,0.627826,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,35,0.027000000000001,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,35,0.693871,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,36,0.0260000000000016,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,36,0.675397,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,37,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,37,0.597685,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,38,0.0280000000000005,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,38,0.870279,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,39,0.0229999999999997,"1","30","bge",0.1,"NULL",0.5,2
